frame,frame_index,gt_id,crowd_index,cost_px,chamfer_px,center_px,gt_center_u,gt_center_v,crowd_center_u,crowd_center_v
NET_ARG_231908_frame2,2,15,31,8.042572,5.331888,10.842738,844.237465,1043.112068,853.588785,1037.624101
NET_ARG_231908_frame2,2,16,14,3.211248,2.165013,4.184943,1716.579026,585.226400,1718.345887,581.432728
NET_ARG_231908_frame2,2,19,28,3.303759,2.232437,4.285287,2147.503249,885.932586,2146.043863,881.903458
NET_ARG_231908_frame2,2,20,24,2.669059,1.967577,2.805928,1805.131895,749.673249,1807.802222,748.811515
NET_ARG_231908_frame2,2,21,16,3.813013,2.461307,5.406824,1847.717728,602.605002,1852.706120,600.519412
NET_ARG_231908_frame3,3,0,31,3.311973,2.677158,2.539257,327.448539,871.021048,327.651624,868.489926
NET_ARG_231908_frame3,3,2,19,3.026647,2.062483,3.856657,1455.588822,653.922885,1458.110195,651.004585
NET_ARG_231908_frame3,3,4,0,1.872948,1.747794,0.500617,462.553962,597.085561,462.709291,596.609651
NET_ARG_231908_frame3,3,5,18,2.040783,1.484254,2.226118,1268.748884,599.604372,1270.876685,598.950108
NET_ARG_231908_frame3,3,6,21,2.582084,1.886629,2.781818,1776.889704,601.076303,1778.530829,598.830146
NET_ARG_231908_frame3,3,7,34,4.431429,3.013077,5.673410,2312.017438,957.095151,2316.758315,953.978794
NET_ARG_231908_frame3,3,8,28,2.328757,1.758006,2.283005,1802.259128,719.635223,1804.471038,720.200523
NET_ARG_231908_frame3,3,9,36,2.814320,2.457950,1.425481,889.741362,1069.929276,888.596825,1070.778999
NET_ARG_231908_frame3,3,10,16,2.692144,2.038342,2.615211,1042.070167,646.677541,1043.888589,644.798001
NET_ARG_231908_frame3,3,11,2,1.814124,1.463199,1.403700,867.909449,597.349553,868.294138,595.999595
NET_ARG_231908_frame3,3,12,17,1.485647,1.297740,0.751625,1167.973073,676.939167,1168.552611,676.460547
NET_ARG_231908_frame3,3,13,30,4.816815,3.121444,6.781484,1951.352746,706.335070,1957.962997,704.820769
NET_ARG_231908_frame3,3,14,33,3.883640,2.796953,4.346750,1920.191993,952.534411,1921.646103,948.438095
NET_ARG_231908_frame3,3,15,35,8.804677,5.841199,11.853908,842.310323,1042.565028,852.014589,1035.757506
NET_ARG_231908_frame3,3,16,9,1.991812,1.451418,2.161576,1714.936509,585.412127,1715.297269,583.280868
NET_ARG_231908_frame3,3,18,7,1.974855,1.427067,2.191150,1557.601425,539.277089,1559.787335,539.428538
NET_ARG_231908_frame3,3,19,32,3.021598,2.119685,3.607651,2148.440113,886.252731,2149.117373,882.709222
NET_ARG_231908_frame3,3,20,29,3.043332,2.056758,3.946293,1804.110072,749.599500,1807.866182,748.389186
NET_ARG_231908_frame3,3,21,22,3.599277,2.391349,4.831714,1847.324166,602.733406,1851.920825,601.244718
NET_ARG_231908_frame4,4,0,31,3.163024,2.699796,1.852913,327.544021,871.530418,327.676784,869.682268
NET_ARG_231908_frame4,4,2,19,2.618203,1.899855,2.873389,1454.884452,654.057656,1456.808179,651.923262
NET_ARG_231908_frame4,4,4,1,1.724216,1.684651,0.158260,461.270366,597.280644,461.127067,597.213475
NET_ARG_231908_frame4,4,5,18,1.810479,1.415843,1.578544,1269.129515,599.895305,1270.684273,599.622304
NET_ARG_231908_frame4,4,6,20,2.462343,1.769032,2.773247,1776.430363,601.196286,1778.257455,599.109989
NET_ARG_231908_frame4,4,7,34,3.818301,2.562066,5.024940,2311.660477,957.735804,2316.032086,955.258090
NET_ARG_231908_frame4,4,8,28,3.183881,2.203330,3.922204,1801.736669,719.805067,1803.644562,723.231965
NET_ARG_231908_frame4,4,9,35,3.229706,2.619992,2.438853,889.832916,1070.067511,888.762985,1072.259143
NET_ARG_231908_frame4,4,10,16,2.702058,2.014230,2.751310,1042.501116,646.651143,1044.469357,644.728713
NET_ARG_231908_frame4,4,11,5,2.020971,1.629433,1.566152,868.014288,597.444402,869.028576,596.251066
NET_ARG_231908_frame4,4,12,17,1.851711,1.509469,1.368966,1167.870459,677.137323,1169.171856,676.712546
NET_ARG_231908_frame4,4,13,30,3.957604,2.618531,5.356293,1949.744292,706.041046,1954.938848,704.734731
NET_ARG_231908_frame4,4,14,33,4.098164,2.949026,4.596554,1916.485987,952.996569,1918.979521,949.135146
NET_ARG_231908_frame4,4,15,36,6.334614,4.082860,9.007014,840.354733,1041.993244,847.708814,1036.792879
NET_ARG_231908_frame4,4,16,13,2.226023,1.631798,2.376898,1713.185388,585.659546,1714.084547,583.459283
NET_ARG_231908_frame4,4,18,12,2.021144,1.434181,2.347853,1558.952229,539.415880,1560.846121,538.028224
NET_ARG_231908_frame4,4,19,32,2.866970,2.184398,2.730287,2149.539251,886.659961,2150.419355,884.075414
NET_ARG_231908_frame4,4,20,29,3.705411,2.477662,4.910997,1803.076406,749.569844,1807.861949,748.466905
NET_ARG_231908_frame4,4,21,21,3.684591,2.443336,4.965018,1846.947732,602.919634,1851.709132,601.512341
NET_ARG_231908_frame5,5,0,26,3.719456,2.969386,3.000280,327.729740,872.043634,329.201987,869.429409
NET_ARG_231908_frame5,5,1,30,2.499668,2.182100,1.270271,1640.721714,936.072994,1641.956825,936.369792
NET_ARG_231908_frame5,5,2,15,2.488348,1.790960,2.789551,1454.144489,654.178907,1455.541286,651.764252
NET_ARG_231908_frame5,5,4,0,1.794627,1.622718,0.687636,459.938125,597.466233,460.589171,597.244913
NET_ARG_231908_frame5,5,5,14,2.014974,1.527025,1.951796,1269.529684,600.178529,1271.415565,599.675579
NET_ARG_231908_frame5,5,6,16,2.658660,1.919347,2.957255,1775.958773,601.307568,1778.060072,599.226728
NET_ARG_231908_frame5,5,7,32,3.631214,2.486191,4.580094,2311.465850,958.511870,2315.231813,955.905189
NET_ARG_231908_frame5,5,8,24,2.829916,2.073638,3.025112,1801.200102,719.963556,1803.069162,722.342193
NET_ARG_231908_frame5,5,9,33,3.385399,2.754777,2.522488,889.905141,1070.281112,887.592349,1071.288058
NET_ARG_231908_frame5,5,10,12,2.759869,2.164005,2.383453,1042.942460,646.611409,1045.206270,645.865745
NET_ARG_231908_frame5,5,11,2,1.858110,1.574693,1.133667,868.104136,597.555819,869.165820,597.158290
NET_ARG_231908_frame5,5,12,13,2.036936,1.593116,1.775277,1167.802467,677.367641,1169.389174,676.571420
NET_ARG_231908_frame5,5,13,25,4.199556,2.741739,5.831267,1948.308770,705.813586,1954.134403,706.069867
NET_ARG_231908_frame5,5,14,31,4.760743,3.386996,5.494990,1912.695514,953.378969,1914.616111,948.230550
NET_ARG_231908_frame5,5,15,34,5.002933,3.186025,7.267632,838.515559,1041.385899,844.954285,1038.015248
NET_ARG_231908_frame5,5,16,9,2.079588,1.612089,1.869995,1711.281706,586.021512,1712.105799,584.342896
NET_ARG_231908_frame5,5,18,8,1.828371,1.326704,2.006666,1560.332666,539.520841,1561.448149,537.852787
NET_ARG_231908_frame5,5,19,27,2.747062,2.156302,2.363040,2150.590915,887.180844,2151.664847,885.075938
NET_ARG_231908_frame5,5,20,23,3.314533,2.325761,3.955088,1802.039402,749.510486,1805.905452,748.675992
NET_ARG_231908_frame5,5,21,17,3.635332,2.442678,4.770616,1846.569887,603.097360,1850.989865,601.302207
NET_ARG_231908_frame6,6,0,32,3.403787,2.708125,2.782650,327.920971,872.531076,329.094427,870.007954
NET_ARG_231908_frame6,6,2,19,2.310298,1.654104,2.624774,1453.390406,654.293556,1455.104601,652.305851
NET_ARG_231908_frame6,6,3,7,55.331494,38.072305,69.036754,1585.478440,473.289606,1563.095062,538.597016
NET_ARG_231908_frame6,6,4,0,1.923293,1.588114,1.340716,458.590665,597.634093,459.889627,597.966078
NET_ARG_231908_frame6,6,5,18,2.063646,1.515849,2.191186,1269.920010,600.453635,1271.947350,599.622258
NET_ARG_231908_frame6,6,6,21,2.882526,2.031819,3.402830,1775.483262,601.420865,1777.826005,598.952909
NET_ARG_231908_frame6,6,7,36,3.628591,2.544195,4.337586,2311.260849,959.251882,2315.369068,957.860056
NET_ARG_231908_frame6,6,8,30,2.011080,1.677773,1.333228,1800.661502,720.122910,1801.979172,719.919831
NET_ARG_231908_frame6,6,9,37,2.859069,2.457676,1.605574,889.967195,1070.499813,888.470866,1069.917688
NET_ARG_231908_frame6,6,10,14,2.602169,2.108246,1.975691,1043.381529,646.557846,1045.270869,645.980134
NET_ARG_231908_frame6,6,11,2,2.341167,1.817807,2.093438,868.191898,597.661544,870.246379,597.259563
NET_ARG_231908_frame6,6,12,15,2.138881,1.605724,2.132629,1167.746386,677.581455,1169.626742,676.575290
NET_ARG_231908_frame6,6,13,31,4.169020,2.556251,6.451074,1946.872992,705.560346,1953.258411,706.478377
NET_ARG_231908_frame6,6,14,35,4.399077,3.261852,4.548901,1908.861865,953.728331,1910.600144,949.524656
NET_ARG_231908_frame6,6,15,38,4.735970,3.125709,6.441045,836.799201,1040.754770,843.215061,1040.185738
NET_ARG_231908_frame6,6,16,8,1.909271,1.519538,1.558933,1709.353223,586.369675,1710.858127,585.962817
NET_ARG_231908_frame6,6,19,33,2.919477,2.333887,2.342358,2151.639095,887.703455,2153.775803,886.743707
NET_ARG_231908_frame6,6,20,29,3.761275,2.648529,4.450982,1800.994454,749.442283,1805.436821,749.165479
NET_ARG_231908_frame6,6,21,22,3.423311,2.259500,4.655240,1846.186304,603.271726,1850.639985,601.916740
NET_ARG_231908_frame7,7,0,31,3.414956,2.804841,2.440460,328.237440,872.985301,329.247329,870.763597
NET_ARG_231908_frame7,7,2,19,1.972714,1.495195,1.910072,1452.600209,654.395423,1453.686670,652.824443
NET_ARG_231908_frame7,7,3,7,84.067200,63.049281,84.071673,1584.069827,473.398341,1523.650872,531.858550
NET_ARG_231908_frame7,7,4,1,1.941243,1.626828,1.257660,457.188906,597.788386,458.405584,597.469942
NET_ARG_231908_frame7,7,5,17,2.012255,1.520601,1.966616,1270.304272,600.719486,1271.972158,599.677500
NET_ARG_231908_frame7,7,6,22,3.109118,2.157797,3.805287,1774.978517,601.529701,1777.362963,598.564128
NET_ARG_231908_frame7,7,7,34,3.936504,2.806876,4.518511,2311.294402,960.228912,2315.765855,959.578496
NET_ARG_231908_frame7,7,8,24,1.608204,1.306558,1.206585,1800.096912,720.274112,1801.178608,719.739527
NET_ARG_231908_frame7,7,9,35,2.855050,2.527999,1.308202,889.979293,1070.851859,888.842407,1070.204647
NET_ARG_231908_frame7,7,10,15,2.486609,2.024219,1.849558,1043.769781,646.590533,1045.579679,646.209572
NET_ARG_231908_frame7,7,11,13,1.591934,1.278246,1.254748,868.265331,597.812094,869.216181,598.630800
NET_ARG_231908_frame7,7,12,16,2.451948,1.834406,2.470166,1167.697678,677.810176,1170.041332,677.029786
NET_ARG_231908_frame7,7,13,30,4.535680,2.838387,6.789170,1945.635327,705.434635,1952.353555,706.413529
NET_ARG_231908_frame7,7,14,33,5.005456,3.699809,5.222587,1905.136440,954.106118,1908.312270,949.960092
NET_ARG_231908_frame7,7,15,36,4.067994,2.681902,5.544370,835.288022,1040.131078,840.699295,1041.338620
NET_ARG_231908_frame7,7,16,9,2.366171,1.813778,2.209572,1707.302904,586.744207,1709.487423,586.412416
NET_ARG_231908_frame7,7,18,8,1.701988,1.354036,1.391807,1563.007260,539.606566,1564.310425,539.117803
NET_ARG_231908_frame7,7,19,32,3.026599,2.416011,2.442353,2152.681955,888.398057,2154.973622,887.553457
NET_ARG_231908_frame7,7,20,29,3.845631,2.669835,4.703183,1800.061500,749.393779,1804.700690,750.166978
NET_ARG_231908_frame7,7,21,23,2.981369,1.983809,3.990240,1845.791169,603.440488,1849.284718,601.512502
NET_ARG_231908_frame8,8,0,31,3.436361,2.765452,2.683637,328.558592,873.419752,329.675496,870.979581
NET_ARG_231908_frame8,8,2,19,2.177268,1.621100,2.224672,1451.799092,654.491538,1453.226463,652.785144
NET_ARG_231908_frame8,8,4,0,2.186534,1.697924,1.954438,455.772906,597.924076,457.723617,597.803428
NET_ARG_231908_frame8,8,5,18,2.038965,1.522337,2.066513,1270.685966,600.969231,1272.365128,599.764701
NET_ARG_231908_frame8,8,6,21,2.989804,2.163799,3.304020,1774.470268,601.639820,1776.760565,599.258415
NET_ARG_231908_frame8,8,7,34,3.138208,2.254691,3.534066,2311.325322,961.202807,2314.751675,962.068677
NET_ARG_231908_frame8,8,8,23,2.067054,1.712157,1.419590,1799.532210,720.425366,1800.853676,719.906749
NET_ARG_231908_frame8,8,9,36,2.434237,2.259667,0.698280,889.985086,1071.208721,890.480683,1070.716807
NET_ARG_231908_frame8,8,10,16,2.337155,1.846143,1.964049,1044.154537,646.619432,1045.915888,645.750450
NET_ARG_231908_frame8,8,11,2,2.948712,2.191194,3.030073,868.334704,597.956524,871.141198,596.814186
NET_ARG_231908_frame8,8,12,17,2.522017,1.879919,2.568392,1167.660945,678.021973,1169.974666,676.906925
NET_ARG_231908_frame8,8,13,30,3.726830,2.261198,5.862530,1944.406009,705.296043,1950.150184,706.468098
NET_ARG_231908_frame8,8,14,32,2.969946,2.434362,2.142336,1901.406796,954.470667,1899.656628,953.235144
NET_ARG_231908_frame8,8,15,35,4.261171,2.809048,5.808490,833.915391,1039.503469,839.070608,1042.179715
NET_ARG_231908_frame8,8,16,11,2.517843,1.776783,2.964241,1705.243103,587.096908,1708.151850,587.667797
NET_ARG_231908_frame8,8,18,10,1.142335,0.957081,0.741017,1564.282330,539.584928,1564.771634,539.028433
NET_ARG_231908_frame8,8,19,33,3.285011,2.436064,3.395785,2153.704959,889.075614,2157.068524,888.608943
NET_ARG_231908_frame8,8,20,29,3.478727,2.434571,4.176623,1799.122054,749.342925,1803.254544,748.737367
NET_ARG_231908_frame8,8,21,22,2.867745,1.902803,3.859769,1845.390855,603.604699,1848.894100,601.984486
NET_ARG_231908_frame9,9,0,30,3.702678,2.895230,3.229793,329.002716,873.871386,330.195785,870.870028
NET_ARG_231908_frame9,9,2,22,2.143522,1.597035,2.185949,1451.003889,654.612867,1452.271412,652.831924
NET_ARG_231908_frame9,9,4,1,2.315661,1.691473,2.496752,454.352832,598.078097,456.814105,598.497503
NET_ARG_231908_frame9,9,5,21,1.790930,1.304154,1.947106,1271.080974,601.232387,1272.648572,600.077460
NET_ARG_231908_frame9,9,6,23,3.020998,2.150775,3.480888,1773.968233,601.793858,1776.500435,599.405441
NET_ARG_231908_frame9,9,7,33,3.123060,2.218345,3.618860,2311.478017,962.452007,2315.066702,962.918362
NET_ARG_231908_frame9,9,8,28,2.502395,1.845940,2.625819,1798.975362,720.623127,1801.169174,719.180174
NET_ARG_231908_frame9,9,9,34,2.745445,2.424178,1.285069,890.192954,1071.971562,890.892977,1070.893893
NET_ARG_231908_frame9,9,10,18,2.527307,1.901227,2.504319,1044.554767,646.843143,1046.805741,645.745543
NET_ARG_231908_frame9,9,11,5,3.241170,2.396702,3.377871,868.428727,598.162867,871.211347,596.247916
NET_ARG_231908_frame9,9,12,19,2.697789,1.972301,2.901954,1167.661530,678.284155,1170.376075,677.258202
NET_ARG_231908_frame9,9,13,29,3.319508,1.918413,5.604380,1943.292662,705.326082,1948.720787,706.720546
NET_ARG_231908_frame9,9,14,31,2.622450,2.369360,1.012359,1897.672370,955.210352,1897.066112,954.399598
NET_ARG_231908_frame9,9,15,35,4.040194,2.898928,4.565064,832.809518,1038.961971,835.898758,1042.322983
NET_ARG_231908_frame9,9,16,13,2.430111,1.743678,2.745732,1703.078758,587.466313,1705.680406,588.344078
NET_ARG_231908_frame9,9,18,12,1.687027,1.312300,1.498906,1565.462260,539.591666,1566.780459,538.878174
NET_ARG_231908_frame9,9,19,32,3.382836,2.529143,3.414775,2154.765724,889.965338,2158.093234,889.198289
NET_ARG_231908_frame9,9,20,27,2.900586,2.090882,3.238819,1798.336862,749.388792,1801.574521,749.302112
NET_ARG_231908_frame9,9,21,24,2.894259,1.913260,3.923997,1844.992140,603.820313,1848.472024,602.006984
